SRC	TRG	PINYIN_STR	PINYIN_CHAR
k a r t m a n	卡 特 曼	ka te man	k a t e m a n
p e r s s e	珀 斯	po si	p o s i
m a c r a i t h	麦 克 雷 思	mai ke lei si	m a i k e l e i s i
h u d a k	赫 达 克	he da ke	h e d a k e
k r a u s	克 劳 斯	ke lao si	k e l a o s i
g r o s s c h m i d	格 罗 施 米 德	ge luo shi mi de	g e l u o s h i m i d e
b r a s c o	布 拉 斯 科	bu la si ke	b u l a s i k e
n a g e l v o o r t	内 格 尔 伍 特	nei ge er wu te	n e i g e e r w u t e
s t a c h n i k	斯 塔 赫 尼 克	si ta he ni ke	s i t a h e n i k e
p e t t y j o h n	佩 蒂 约 翰	pei di yue han	p e i d i y u e h a n
h a s k e l	哈 斯 克 尔	ha si ke er	h a s i k e e r
i n g e r s o l l	英 格 索 尔	ying ge suo er	y i n g g e s u o e r
g i l b e r t s o n	吉 尔 伯 森	ji er bo sen	j i e r b o s e n
a m a b i l l a	阿 玛 比 拉	a ma bi la	a m a b i l a
f r e e d e n	弗 里 登	fu li deng	f u l i d e n g
b u x o	布 克 索	bu ke suo	b u k e s u o
z i f f r e n	齐 弗 伦	qi fu lun	q i f u l u n
o r s o n	奥 森	ao sen	a o s e n
b l o w n	布 洛 恩	bu luo en	b u l u o e n
z e f f e r t	泽 弗 特	ze fu te	z e f u t e
a u r b a c h	奥 尔 巴 克	ao er ba ke	a o e r b a k e
a n g h a r a d	安 加 拉 德	an jia la de	a n j i a l a d e
b u t w i n	巴 特 温	ba te wen	b a t e w e n
b a t t a g l i a	巴 塔 利 亚	ba ta li ya	b a t a l i y a
r i p p y	里 庇	li bi	l i b i
b u c h h o l z	巴 克 霍 尔 兹	ba ke huo er zi	b a k e h u o e r z i
g r u n f e l d	格 伦 费 尔 德	ge lun fei er de	g e l u n f e i e r d e
e m e r e	埃 米 尔	ai mi er	a i m i e r
h a n a f o r d	哈 纳 福 德	ha na fu de	h a n a f u d e
a l c e s t e r	奥 尔 斯 特	ao er si te	a o e r s i t e
s c o l l i n	斯 科 林	si ke lin	s i k e l i n
g o l d f o r b	戈 德 福 布	ge de fu bu	g e d e f u b u
t h o r p e	索 普	suo pu	s u o p u
k a r n e r	卡 纳	ka na	k a n a
b e r i n g	贝 林	bei lin	b e i l i n
b a u f i e l d	鲍 菲 尔 德	bao fei er de	b a o f e i e r d e
h a r g o o d	海 古 德	hai gu de	h a i g u d e
v e r l a n d e r	弗 兰 德	fu lan de	f u l a n d e
m a r c i a	马 西 娅	ma xi ya	m a x i y a
f r a n k e b e r g e r	弗 兰 克 伯 格	fu lan ke bo ge	f u l a n k e b o g e
k a n a r e c k	卡 纳 雷 克	ka na lei ke	k a n a l e i k e
g o t t s e g e n	戈 特 塞 根	ge te sai gen	g e t e s a i g e n
l u z z a t t o	卢 扎 托	lu zha tuo	l u z h a t u o
m c n a u g h t	麦 克 诺 特	mai ke nuo te	m a i k e n u o t e
p o p e j o y	波 普 乔 伊	bo pu qiao yi	b o p u q i a o y i
s t u i t	斯 图 伊 特	si tu yi te	s i t u y i t e
g r i e r s o n	格 里 尔 森	ge li er sen	g e l i e r s e n
f a s t o w	法 斯 托	fa si tuo	f a s i t u o
c a p e y	卡 皮	ka pi	k a p i
l o y d a l l	劳 埃 德 尔	lao ai de er	l a o a i d e e r
c o w n	科 恩	ke en	k e e n
b a r d o u x	巴 杜	ba du	b a d u
c i r a l d o	西 拉 尔 多	xi la er duo	x i l a e r d u o
a n i c e	安 妮 斯	an ni si	a n n i s i
b r a d e	布 雷 德	bu lei de	b u l e i d e
p a w e l l	帕 韦 尔	pa wei er	p a w e i e r
l i p y e a t	利 皮 亚 特	li pi ya te	l i p i y a t e
o s m e r s	奥 斯 默 斯	ao si mo si	a o s i m o s i
c a t c h p o o l	卡 奇 普 尔	ka qi pu er	k a q i p u e r
z e u g	佐 格	zuo ge	z u o g e
d e i h l	戴 尔	dai er	d a i e r
o r c h a r d s o n	奥 查 森	ao cha sen	a o c h a s e n
m c g u i n t y	麦 金 蒂	mai jin di	m a i j i n d i
w e d e m a n	韦 德 曼	wei de man	w e i d e m a n
m c c a r t y	麦 卡 蒂	mai ka di	m a i k a d i
m c c l e l l a n	麦 克 莱 伦	mai ke lai lun	m a i k e l a i l u n
d o n l e a v y	唐 利 维	tang li wei	t a n g l i w e i
b o g a r d u s	博 加 德 斯	bo jia de si	b o j i a d e s i
s a n f o r d	桑 福 德	sang fu de	s a n g f u d e
h e l m k a m p	赫 尔 姆 坎 普	he er mu kan pu	h e e r m u k a n p u
y a t e s	耶 茨	ye ci	y e c i
o b e r d o r f e r	奥 伯 多 弗	ao bo duo fu	a o b o d u o f u
o g r a d y	奥 格 雷 迪	ao ge lei di	a o g e l e i d i
s t u k u s	斯 图 克 斯	si tu ke si	s i t u k e s i
g r e g o	格 雷 戈	ge lei ge	g e l e i g e
c a z e n o v	卡 齐 诺 夫	ka qi nuo fu	k a q i n u o f u
d e w e s s e	德 威 斯	de wei si	d e w e i s i
m e n e l	梅 内 尔	mei nei er	m e i n e i e r
l e x o w	莱 克 索	lai ke suo	l a i k e s u o
m c v a u g h	麦 克 沃	mai ke wo	m a i k e w o
